lat;lng;uf
-27.782256784422998;-48.520760023056596;SC
-27.83033328735121;-48.544764129061264;SC
-27.85356171909791;-48.598003748674046;SC
-27.885898584352105;-48.57301930159946;SC
-27.94630149741613;-48.62183927945915;SC
-28.008271683291525;-48.6302541800863;SC
-28.0288137762347;-48.60100362082039;SC
-28.085963169664467;-48.631634594460934;SC
-28.143095999380762;-48.64033600020622;SC
-28.155894999654436;-48.65363800029343;SC
-28.217696998817416;-48.666583000105334;SC
-28.234263469583368;-48.64533114961284;SC
-28.258417239863604;-48.677622439923596;SC
-28.297258549842127;-48.70078256456367;SC
-28.33808594511015;-48.703637709712496;SC
-28.37841999928338;-48.73621000039111;SC
-28.425591768045535;-48.74352661026472;SC
-28.464802767733488;-48.76652561056841;SC
-28.495972999154503;-48.747112999565104;SC
-28.52774677998974;-48.75858960342737;SC
-28.60692599953512;-48.82720799964943;SC
-28.61311699905019;-48.851433999879134;SC
-28.6735648719212;-48.97749998223827;SC
-28.734662233375275;-49.08187636730048;SC
-28.80148615835941;-49.18541320285698;SC
-28.883595999555666;-49.29160199973239;SC
-28.955725999255435;-49.37683450021194;SC
-29.047096805273327;-49.47054275394481;SC
-29.18843337849745;-49.602671303637635;SC
-29.317873301511554;-49.708636344691456;SC
-29.298820338387827;-49.74209739128156;SC
-29.285871583007065;-49.81573178589315;SC
-29.224379688072077;-49.86952984312768;SC
-29.19885462344206;-49.96273415006095;SC
-29.225409541317163;-50.009932221294946;SC
-29.262280450182516;-50.11548269287192;SC
-29.24322257226379;-50.15185891975324;SC
-29.19782369730575;-50.1456157901365;SC
-29.211039129552148;-50.10776517062601;SC
-29.162834510104517;-50.01797265141664;SC
-29.117251046598483;-49.991801704485;SC
-29.08492497590686;-49.956155135351196;SC
-29.061400259814036;-49.95111191897985;SC
-29.021746294555783;-49.96599112129314;SC
-28.965821641955188;-49.9336566985977;SC
-28.961813106389684;-49.95424038878281;SC
-28.925527878308912;-49.965086495945;SC
-28.89796719463027;-49.94959598486679;SC
